"
Image id",Caption,Label,
1,"তেঁতুলিয়া থেকে টেকনাফ!
সমগ্র বাংলাদেশের পথে পথে! 
আমরা আসছি আপনাদের থেকে শুনতে, শিখতে, অনুপ্রাণিত হতে।",1,
2,"শুধু মেট্রো শহরেই নয়, দেশের প্রত্যেকটি কোণে লুকিয়ে আছে নতুন নতুন আইডিয়া। আমরা এইবার খুঁজে বের করেছি দিনাজপুরের মতো ছোট শহর থেকেও কী কী অসাধারণ উদ্ভাবন আসতে পারে!",1,
3,স্মার্ট বাংলাদেশ গড়ার লক্ষ্যে আমরা দেশের বিভিন্ন জেলায় ঘুরে ফিরে আইডিয়াপ্রেনারদের খুঁজছি। দিনাজপুরে আমাদের এই যাত্রায় অনেক অসাধারণ মননশীল তরুণকে পেয়েছি।,0,
4,"দিনাজপুরের আইডিয়া ডিজাইন বুটক্যাম্পের ছবি দেখে মনে হচ্ছে, বাংলাদেশের ভবিষ্যৎ উজ্জ্বল। এই তরুণ প্রজন্মের কাছে অনেক সম্ভাবনা লুকিয়ে আছে।",0,
5,"রুট লেভেল থেকে শুরু করে সেরা ২০টি দলকে বাছাই করা হচ্ছে। আপনার মধ্যে যদি কোনো ইউনিক আইডিয়া থাকে, তাহলে এই সুযোগ কাজে লাগান।",0,
6,কে বলবে বাংলাদেশের একটা ছোট্ট গ্রাম পুরো দুনিয়ার রান্নাঘরকে প্রভাবিত করবে! ইউটিউব ভিলেজের রান্নার ভিডিও দেখে মুগ্ধ না হয়ে পারা যায় না।,0,
7,লাখ লাখ মানুষের হৃদয় জয় করেছে ইউটিউব ভিলেজের রান্না। এই গ্রামের কন্টেন্ট ক্রিয়েটারদের সফলতা দেখে অনুপ্রাণিত হচ্ছে অনেকেই।,0,
8,"আব রশিদের ক্যামেরায় ফ্রেম হওয়া রান্নার আয়োজন দেখে মনে হচ্ছে, বাংলাদেশের গ্রামীণ জীবন কত সুন্দর!",0,
9,দেশের ১ নম্বর নেটওয়ার্কের সাপোর্টে ইউটিউব ভিলেজের কন্টেন্ট ক্রিয়েটাররা আরও দ্রুত এবং সহজে তাদের কাজ করতে পারছে।,1,
10,বলরামপুরের দয়াল চন্দ্র বর্মণের সঙ্গে হঠাৎ দেখা হয়ে গেল গ্রামীণফোন সিইও ইয়াসির আজমানের।,0,
